Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,88.0,88.0,\makecell{88.0 $~/~$ 88.0}
gpt-oss:120b-cloud,+Cluster,88.0,96.0,\makecell{88.0 $~/~$ 96.0}
gpt-oss:120b-cloud,+Judge,84.0,92.0,\makecell{84.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Cluster+Judge,96.0,100.0,\makecell{96.0 $~/~$ 100.0}
qwen3-next:80b-cloud,Base,56.00000000000001,84.0,\makecell{56.0 $~/~$ 84.0}
qwen3-next:80b-cloud,+Cluster,68.0,80.0,\makecell{68.0 $~/~$ 80.0}
qwen3-next:80b-cloud,+Judge,56.00000000000001,84.0,\makecell{56.0 $~/~$ 84.0}
qwen3-next:80b-cloud,+Cluster+Judge,56.00000000000001,64.0,\makecell{56.0 $~/~$ 64.0}
gpt-oss:20b-cloud,Base,60.0,100.0,\makecell{60.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Cluster,84.0,100.0,\makecell{84.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Judge,80.0,96.0,\makecell{80.0 $~/~$ 96.0}
gpt-oss:20b-cloud,+Cluster+Judge,60.0,96.0,\makecell{60.0 $~/~$ 96.0}
ministral-3:14b-cloud,Base,44.0,84.0,\makecell{44.0 $~/~$ 84.0}
ministral-3:14b-cloud,+Cluster,24.0,92.0,\makecell{24.0 $~/~$ 92.0}
ministral-3:14b-cloud,+Judge,20.0,92.0,\makecell{20.0 $~/~$ 92.0}
ministral-3:14b-cloud,+Cluster+Judge,8.0,72.0,\makecell{8.0 $~/~$ 72.0}
ministral-3:3b-cloud,Base,0.0,24.0,\makecell{0.0 $~/~$ 24.0}
ministral-3:3b-cloud,+Cluster,0.0,20.0,\makecell{0.0 $~/~$ 20.0}
ministral-3:3b-cloud,+Judge,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
ministral-3:3b-cloud,+Cluster+Judge,0.0,12.0,\makecell{0.0 $~/~$ 12.0}
ministral-3:8b-cloud,Base,4.0,72.0,\makecell{4.0 $~/~$ 72.0}
ministral-3:8b-cloud,+Cluster,0.0,44.0,\makecell{0.0 $~/~$ 44.0}
ministral-3:8b-cloud,+Judge,4.0,76.0,\makecell{4.0 $~/~$ 76.0}
ministral-3:8b-cloud,+Cluster+Judge,0.0,80.0,\makecell{0.0 $~/~$ 80.0}
