model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy
gpt-oss:120b-cloud,31707a037c40_20260129194055,1,10.521248817443848,5001,1172,0,,0.6666666666666666
gpt-oss:120b-cloud,31707a037c40_20260129194055,2,11.681675910949707,5593,1239,0,,0.6666666666666666
gpt-oss:120b-cloud,31707a037c40_20260129194055,3,11.530311822891235,4457,1657,0,,0.6666666666666666
gpt-oss:120b-cloud,31707a037c40_20260129194055,4,12.738098859786987,5777,1278,0,,0.6666666666666666
gpt-oss:120b-cloud,31707a037c40_20260129194055,5,5.357819318771362,5566,317,0,,0.6666666666666666
gpt-oss:120b-cloud,31707a037c40_20260129194055,6,2.762911319732666,4353,347,0,,0.6666666666666666
gpt-oss:120b-cloud,f371716ff675_20260129194236,1,5.272307872772217,2550,787,0,,0.6190476190476191
gpt-oss:120b-cloud,f371716ff675_20260129194236,2,6.9666547775268555,3595,458,0,,0.6190476190476191
gpt-oss:120b-cloud,f371716ff675_20260129194236,3,9.131002426147461,2439,1280,0,,0.6190476190476191
gpt-oss:120b-cloud,f371716ff675_20260129194236,4,11.524957418441772,3657,1387,0,,0.6190476190476191
gpt-oss:120b-cloud,f371716ff675_20260129194236,5,14.686100006103516,2601,2030,0,,0.6190476190476191
gpt-oss:120b-cloud,f371716ff675_20260129194236,6,2.270723819732666,3298,194,0,,0.6190476190476191
gpt-oss:120b-cloud,c788fb73b643_20260129194352,1,5.926990747451782,2008,865,0,,0.47619047619047616
gpt-oss:120b-cloud,c788fb73b643_20260129194352,2,6.852209091186523,2590,290,0,,0.47619047619047616
gpt-oss:120b-cloud,c788fb73b643_20260129194352,3,7.6478190422058105,1897,1147,0,,0.47619047619047616
gpt-oss:120b-cloud,c788fb73b643_20260129194352,4,3.0794827938079834,3115,381,0,,0.47619047619047616
gpt-oss:120b-cloud,c788fb73b643_20260129194352,5,7.577205181121826,2029,1235,0,,0.47619047619047616
gpt-oss:120b-cloud,c788fb73b643_20260129194352,6,2.7254021167755127,2262,363,0,,0.47619047619047616
